,bowlerName,runs,wickets,bowling_avg
0,AndreRussell,638,35,18.2
31,YuzvendraChahal,1333,66,20.2
9,HarshalPatel,1323,65,20.4
19,RashidKhan,1317,63,20.9
16,MohammedShami,1405,67,21.0
3,AveshKhan,1115,47,23.7
11,KagisoRabada,1069,45,23.8
15,MoeenAli,501,21,23.9
1,AnrichNortje,768,31,24.8
28,UmranMalik,757,29,26.1
