bowlerName,wickets
MohammedShami,67
YuzvendraChahal,66
HarshalPatel,65
RashidKhan,63
AveshKhan,47
KagisoRabada,45
ArshdeepSingh,45
VarunChakravarthy,44
ShardulThakur,43
TrentBoult,42
