,bowlerName,total_ball,0s,dot_ball%
0,AndreRussell,374,129,34.5
1,AnrichNortje,556,229,41.2
2,ArshdeepSingh,853,312,36.6
3,AveshKhan,802,334,41.6
4,AxarPatel,792,279,35.2
